Gene Name,Accession,EntrezGeneID,Description,MitoCarta2_List,Matrix,IMS,"Log2-AVE: Abundance: F2: 126, Sample, High Fat (Diet), Input (Fraction): Normalized to: Abundance: F2: 126, Sample, High Fat (Diet), Input (Fraction)","Log2-AVE: Abundance: F2: 127C, Sample, NR High Fat (Diet), Input (Fraction): Normalized to: Abundance: F2: 127C, Sample, NR High Fat (Diet), Input (Fraction)","Log2-AVE: Abundance: F2: 127N, Sample, High Fat (Diet), Input (Fraction): Normalized to: Abundance: F2: 127N, Sample, High Fat (Diet), Input (Fraction)","Log2-AVE: Abundance: F2: 128C, Sample, High Fat (Diet), Input (Fraction): Normalized to: Abundance: F2: 128C, Sample, High Fat (Diet), Input (Fraction)","Log2-AVE: Abundance: F2: 128N, Sample, NR High Fat (Diet), Input (Fraction): Normalized to: Abundance: F2: 128N, Sample, NR High Fat (Diet), Input (Fraction)","Log2-AVE: Abundance: F2: 129C, Sample, NR High Fat (Diet), Input (Fraction): Normalized to: Abundance: F2: 129C, Sample, NR High Fat (Diet), Input (Fraction)","Log2-AVE: Abundance: F2: 129N, Sample, High Fat (Diet), Input (Fraction): Normalized to: Abundance: F2: 129N, Sample, High Fat (Diet), Input (Fraction)","Log2-AVE: Abundance: F2: 130C, Sample, High Fat (Diet), Input (Fraction): Normalized to: Abundance: F2: 130C, Sample, High Fat (Diet), Input (Fraction)","Log2-AVE: Abundance: F2: 130N, Sample, NR High Fat (Diet), Input (Fraction): Normalized to: Abundance: F2: 130N, Sample, NR High Fat (Diet), Input (Fraction)","Log2-AVE: Abundance: F2: 131, Sample, NR High Fat (Diet), Input (Fraction): Normalized to: Abundance: F2: 131, Sample, NR High Fat (Diet), Input (Fraction)",NR+HFD/HFD Protein Expression Log2FC,NR+HFD/HFD Protein Expression pvalue,NR+HFD/HFD Protein Expression p_adjusted
,A0A5K1VVQ9,,,False,False,False,0.22120838258829245,0.10768770729991672,0.0003896251791744021,0.0931712449293336,0.09134323260698096,0.05769095008904479,0.10511598129656363,-0.18800619448841438,-0.23591270271217724,-0.25268822678872027,-0.09275161580198095,0.4076230836686273,0.9531211440401544
Ttn,A2ASS6,22138.0,Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1,False,False,False,,,,,,,,,,,,,
,E9Q8K5,,,False,False,False,0.0122187146129491,-0.07479990160215344,0.0022385201123622522,-0.08823189944737564,-0.0026199982865175997,0.08267951402374685,-0.04752900586105646,0.019458996756146263,0.0495521305032991,0.047032929188612016,0.04073786953079228,0.2690504273860302,0.9531211440401544
Myh4,Q5SX39,17884.0,Myosin-4 OS=Mus musculus OX=10090 GN=Myh4 PE=2 SV=1,False,False,False,-0.01846164280985718,-0.023229273711251608,0.04888066312893713,0.037979200033781524,0.011928879404614179,0.15337607519475327,0.10462087204844295,-0.09200380397368235,-0.09982487255324912,-0.12326609676249234,-0.03240611537104954,0.5996261873880868,0.958652782542839
,A0A571BF58,,,False,False,False,-0.004669818909864176,0.015015662705469168,0.03465766153631833,0.037948089672585894,-0.041293076945169815,0.06914099685437947,0.06623471197669417,-0.03727663585953778,-0.02629074276091714,-0.11346684826996523,-0.03875760336648,0.30452705870859875,0.9531211440401544
Myh1,Q5SX40,17879.0,Myosin-1 OS=Mus musculus OX=10090 GN=Myh1 PE=1 SV=1,False,False,False,0.23581429796890063,0.16105687336561658,0.04533833228057382,-0.1054538795294011,-0.10489421113380715,-0.5237991838633249,-0.02842155639839028,0.13342196313278265,0.07360353643238149,0.11333382774466294,-0.11227966298178735,0.4420245326840986,0.9531211440401544
Myh2,G3UW82,17882.0,"Myosin, heavy polypeptide 2, skeletal muscle, adult OS=Mus musculus OX=10090 GN=Myh2 PE=1 SV=1",False,False,False,0.11092729877724317,0.22047594591192343,-0.03792106138503826,0.14067778161714628,-0.09100184393165911,-0.4229334082979559,-0.2151868073769414,0.03826082682215315,0.2135062456526846,0.043195022210438694,-0.01470321538182624,0.915893836216414,0.9830399649184074
Myh8,P13542,17885.0,Myosin-8 OS=Mus musculus OX=10090 GN=Myh8 PE=2 SV=2,False,False,False,0.03178949645699802,-0.10721037549713408,0.019169453065527975,-0.0007147436003513974,-0.1593043403445087,-0.03783541938345536,0.2759284736683778,0.0015873568560689222,0.0007949635775332808,-0.024204864799033388,-0.1311040145786439,0.06243969195494471,0.9531211440401544
Ttn,A2ASS6-3,22138.0,Isoform 3 of Titin OS=Mus musculus OX=10090 GN=Ttn,False,False,False,0.003626770535225532,-0.0796378292572566,-0.002012462166891993,0.036138422895861666,0.005520729629077792,-0.028099146334383818,0.08931496900353153,-0.002832189911634586,-0.023945793284722683,0.0019265288911931577,-0.04969420414243686,0.06566848046052327,0.9531211440401544
Myh3,P13541,17883.0,Myosin-3 OS=Mus musculus OX=10090 GN=Myh3 PE=2 SV=2,False,False,False,0.1333783931133592,0.040817843075778626,0.05121368313173136,0.08229134527283932,0.09917396355407249,0.19717991194951168,0.1416933234683153,-0.23882005969126574,-0.22918294000531958,-0.2777454638690138,-0.06790267411799,0.5769894480431468,0.958652782542839
Myh7,Q91Z83,140781.0,Myosin-7 OS=Mus musculus OX=10090 GN=Myh7 PE=2 SV=1,False,False,False,0.0578502928259077,-0.6499752082871026,0.04972045972144379,0.8385457362454183,1.1245969764351038,-1.3748046353903476,-0.41670673431473126,-0.09348891891083433,0.07729115714487733,0.3869708745302667,-0.1743683342268813,0.7241115789371695,0.959180834571492
Myom2,Q14BI5,17930.0,Myomesin 2 OS=Mus musculus OX=10090 GN=Myom2 PE=1 SV=1,False,False,False,0.027508043276881722,-0.010732547080486654,0.021645432320241298,-0.014699648841897783,1.0172036851940902e-05,0.12029464818837354,0.045453285327624826,-0.0577972425996407,-0.05717412208625916,-0.07450802054170325,-0.008843947793286587,0.8252702864810295,0.9716955740393566
Myh6,Q02566,17888.0,Myosin-6 OS=Mus musculus OX=10090 GN=Myh6 PE=1 SV=2,False,False,False,0.23542057756324164,-0.1908046494502904,-0.14932855462620864,0.061128321666350516,0.2300433793179555,0.14769073095377516,0.36622417892108006,-0.09890068713106581,-0.4902316111513314,-0.11124168606350926,-0.16581753455735965,0.3340697404442822,0.9531211440401544
Acta1,P68134,11459.0,"Actin, alpha skeletal muscle OS=Mus musculus OX=10090 GN=Acta1 PE=1 SV=1",False,False,False,-0.12387627224215336,-0.05457210823094094,0.02522732711869935,0.0017466036776827565,-0.020187286932833004,0.08008726292035107,-0.0004159794450195875,0.021798907576659587,0.059475669775997275,0.010715875781572848,0.0302077653256557,0.43989551135668115,0.9531211440401544
Atp2a1,Q8R429,11937.0,Sarcoplasmic/endoplasmic reticulum calcium ATPase 1 OS=Mus musculus OX=10090 GN=Atp2a1 PE=1 SV=1,False,False,False,-0.014211923429069628,-0.02346526917865077,0.01714034310279544,0.055210313300072755,-0.05046026793991132,0.05574469469272003,0.07205408371986266,0.021984222119687757,-0.04358616223195,-0.09041003415554982,-0.06087081552533817,0.06512596082676864,0.9531211440401544
Ryr1,E9PZQ0,20190.0,Ryanodine receptor 1 OS=Mus musculus OX=10090 GN=Ryr1 PE=1 SV=1,False,False,False,-0.018587171338840136,-0.02099553254660158,0.013835145331652754,0.04690812409436518,-0.056480204068515505,0.07779381301757837,0.09192343893743704,-0.047631899104768394,-0.008993895866403534,-0.07777181845589887,-0.03457905516793751,0.3680401841378365,0.9531211440401544
Mybpc2,Q5XKE0,233199.0,"Myosin-binding protein C, fast-type OS=Mus musculus OX=10090 GN=Mybpc2 PE=1 SV=1",False,False,False,0.0003244315187878044,-0.03466364883383832,0.04056371293855321,0.05561328158653467,-0.01819468355625986,0.15076320530414478,0.08737209902517762,-0.07892796567213267,-0.06559781052866143,-0.1372526217823129,-0.041978223758769674,0.47109726348244696,0.9531211440401544
Actn3,O88990,11474.0,Alpha-actinin-3 OS=Mus musculus OX=10090 GN=Actn3 PE=2 SV=1,False,False,False,-0.053078414045824474,-0.02129790668479714,0.03536720698670237,0.03321447954552248,-0.01466008310164213,0.11140249938300784,0.07455829620205456,-0.044402048454360354,-0.016336608821671206,-0.10476742100900793,-0.018263808093641032,0.6789973474216631,0.958652782542839
